Keyword,Rank,New_Rank,Volume,Estimated_CTR,New_Estimated_CTR,Estimated_Clicks,Predicted_Clicks,New_Estimated_Clicks
m budget mobile,41,1,21000,0.0008,0.01,1.3333333333333333,210.0,210.0
salt mobile,4,1,8700,0.002,0.01,7.333333333333333,87.0,87.0
wingo mobile,6,1,6600,0.0024,0.01,10.333333333333334,66.0,66.0
wingo abo,13,1,6000,0.0044,0.01,49.666666666666664,60.0,60.0
yallo abo,8,1,4400,0.0026,0.05,10.0,220.0,220.0
sunrise abo,4,1,4300,0.0038,0.05,3.3333333333333335,215.0,215.0
handy abo,1,1,4200,0.0235,0.3,103.0,1260.0,1260.0
salt abo,9,1,4100,0.0024,0.05,10.0,205.0,205.0
handy abo vergleich,2,1,3700,0.0225,0.3,83.25,1110.0,1110.0
yallo internet,10,1,3300,0.03,0.05,1.3333333333333333,165.0,165.0
sunrise mobile,11,1,3000,0.015,0.05,45.0,150.0,150.0
swisscom abo,14,1,2900,0.015,0.05,1.3333333333333333,145.0,145.0
prepaid sim karte,100,1,2400,0.01,0.3,24.0,720.0,720.0
internet abo,14,1,2300,0.019,0.3,64.0,690.0,690.0
salt internet,18,1,2200,0.002,0.05,3.0,110.0,110.0
swisscom prepaid,100,1,2200,0.005,0.05,11.0,110.0,110.0
m budget internet,11,1,2100,0.015,0.05,1.6666666666666667,105.0,105.0
salt europe max,11,1,2100,0.0029,0.05,1.3333333333333333,105.0,105.0
yallo mobile,7,1,2000,0.0027,0.05,2.3333333333333335,100.0,100.0
yallo prepaid,14,1,2000,0.015,0.05,0.3333333333333333,100.0,100.0
salt abonnement,8,1,1800,0.03,0.05,54.0,90.0,90.0
handy abo schweiz,2,1,1700,0.0204,0.3,34.666666666666664,510.0,510.0
m budget abo,10,1,1500,0.03,0.05,45.0,75.0,75.0
glasfaseranschluss,100,1,1500,0.01,0.3,15.0,450.0,450.0
sunrise netzabdeckung,7,1,1400,0.0036,0.3,4.666666666666667,420.0,420.0
mobile abo,49,1,1400,0.0106,0.3,9.666666666666666,420.0,420.0
salt home,12,1,1300,0.0042,0.05,2.3333333333333335,65.0,65.0
swisscom prepaid aufladen,100,1,1300,0.005,0.05,6.5,65.0,65.0
internet abo schweiz,19,1,1200,0.0060999999999999995,0.3,5.0,360.0,360.0
salt netzabdeckung,5,1,1100,0.0143,0.3,18.333333333333332,330.0,330.0
talk talk abo,8,1,1100,0.0008,0.05,1.0,55.0,55.0
sunrise mobile abo,9,1,1000,0.0003,0.05,0.3333333333333333,50.0,50.0
günstiges handy-abo schweiz unlimitiert internet,18,1,1000,0.05,0.3,4.666666666666667,300.0,300.0
salt handy abo,7,1,900,0.0027,0.05,1.6666666666666667,45.0,45.0
wingo handy abo,6,1,900,0.003,0.05,3.6666666666666665,45.0,45.0
wingo internet,10,1,900,0.0059,0.05,3.6666666666666665,45.0,45.0
salt prepaid,11,1,900,0.015,0.05,13.5,45.0,45.0
handyabo,3,1,800,0.0225,0.3,22.333333333333332,240.0,240.0
wingo fair flat,7,1,800,0.0006,0.3,0.3333333333333333,240.0,240.0
swisscom mobile abo,17,1,800,0.015,0.05,1.0,40.0,40.0
swisscom handy abo,17,1,800,0.015,0.05,2.0,40.0,40.0
internet und tv abo,12,1,800,0.05,0.3,4.0,240.0,240.0
internet anbieter schweiz,6,1,800,0.1,0.3,1.3333333333333333,240.0,240.0
internet geschwindigkeit test,100,1,800,0.01,0.3,8.0,240.0,240.0
internet abo vergleich,3,1,700,0.015600000000000001,0.3,11.333333333333334,210.0,210.0
sunrise handy abo,8,1,700,0.0019,0.05,0.6666666666666666,35.0,35.0
swisscom netzabdeckung,27,1,700,0.0012,0.3,0.6666666666666666,210.0,210.0
günstiges handy abo,8,1,700,0.0062,0.3,4.0,210.0,210.0
wingo handy,8,1,700,0.03,0.05,21.0,35.0,35.0
wingo aktion,20,1,700,0.05,0.3,35.0,210.0,210.0
internet geschwindigkeit,44,1,700,0.01,0.3,7.0,210.0,210.0
glasfaser verfügbarkeit,100,1,700,0.01,0.3,7.0,210.0,210.0
mobile abo vergleich,3,1,600,0.017,0.3,28.0,180.0,180.0
salt netz,6,1,600,0.0092,0.3,3.3333333333333335,180.0,180.0
günstige handy abos,4,1,600,0.0040999999999999995,0.3,3.6666666666666665,180.0,180.0
wingo abonnement,6,1,600,0.1,0.3,60.0,180.0,180.0
yallo handy abo,8,1,600,0.0012,0.05,1.0,30.0,30.0
prepaid swisscom,100,1,600,0.005,0.05,3.0,30.0,30.0
internetanbieter schweiz,6,1,600,0.1,0.3,0.3333333333333333,180.0,180.0
internet tv abo,17,1,600,0.05,0.3,2.3333333333333335,180.0,180.0
5g abdeckung schweiz,4,1,500,0.0581,0.3,23.333333333333332,150.0,150.0
prepaid karte,100,1,500,0.01,0.3,5.0,150.0,150.0
prepaid karte schweiz,100,1,500,0.01,0.3,5.0,150.0,150.0
tv internet abo,12,1,500,0.05,0.3,1.3333333333333333,150.0,150.0
internet tv,97,1,500,0.01,0.3,0.3333333333333333,150.0,150.0
wingo angebote,6,1,450,0.0042,0.05,3.3333333333333335,22.5,22.5
sunrise abo angebote,12,1,450,0.015,0.05,0.3333333333333333,22.5,22.5
abonnement mobile,27,1,450,0.01,0.3,0.3333333333333333,135.0,135.0
prepaid sim card switzerland,100,1,450,0.01,0.3,4.5,135.0,135.0
prepaid sim karte schweiz,90,1,450,0.01,0.3,4.5,135.0,135.0
tv und internet abo,11,1,450,0.05,0.3,1.3333333333333333,135.0,135.0
abonnement internet,9,1,400,0.1,0.3,40.0,120.0,120.0
wingo mobile abo,6,1,400,0.0022,0.05,1.3333333333333333,20.0,20.0
sunrise internet abo,12,1,400,0.015,0.05,0.3333333333333333,20.0,20.0
mobile abo aktion,7,1,400,0.1,0.3,5.0,120.0,120.0
prepaid handy,36,1,400,0.01,0.3,4.0,120.0,120.0
salt esim,100,1,400,0.01,0.3,4.0,120.0,120.0
home internet,53,1,400,0.01,0.3,0.3333333333333333,120.0,120.0
spotify abos,100,1,400,0.01,0.3,4.0,120.0,120.0
handy-abo vergleich,2,1,350,0.016200000000000003,0.3,6.333333333333333,105.0,105.0
handy abo angebote,5,1,350,0.0028000000000000004,0.3,1.0,105.0,105.0
yallo angebote,7,1,350,0.006,0.05,2.0,17.5,17.5
yallo abonnement,8,1,350,0.03,0.05,0.3333333333333333,17.5,17.5
salt tv internet,11,1,350,0.015,0.05,0.3333333333333333,17.5,17.5
wingo abo aktion,8,1,350,0.0076,0.3,3.3333333333333335,105.0,105.0
sky abo schweiz,100,1,350,0.01,0.3,3.5,105.0,105.0
internet für zuhause,31,1,300,0.01,0.3,4.0,90.0,90.0
mobil abo,5,1,300,0.0059,0.3,2.3333333333333335,90.0,90.0
handy abo vergleich schweiz,3,1,300,0.0203,0.3,11.333333333333334,90.0,90.0
bestes handy abo schweiz,11,1,300,0.05,0.3,0.3333333333333333,90.0,90.0
mobile abo schweiz,10,1,300,0.1,0.3,1.6666666666666667,90.0,90.0
handy abo unlimitiert,23,1,300,0.01,0.3,3.0,90.0,90.0
swisscom action,100,1,300,0.01,0.3,3.0,90.0,90.0
internet vergleich schweiz,6,1,300,0.1,0.3,0.3333333333333333,90.0,90.0
günstiges internet schweiz,4,1,300,0.1,0.3,0.3333333333333333,90.0,90.0
tv abo vergleich,8,1,300,0.1,0.3,30.0,90.0,90.0
internet schweiz,9,1,300,0.0045000000000000005,0.3,2.3333333333333335,90.0,90.0
wlan zuhause,19,1,300,0.05,0.3,15.0,90.0,90.0
internet home,13,1,300,0.05,0.3,0.3333333333333333,90.0,90.0
tv internet,22,1,300,0.01,0.3,3.0,90.0,90.0
spotify kosten schweiz,100,1,300,0.01,0.3,3.0,90.0,90.0
internet zuhause,23,1,250,0.0208,0.3,10.0,75.0,75.0
salt internet abo,5,1,250,0.0036,0.3,1.3333333333333333,75.0,75.0
yallo mobile abo,8,1,250,0.1,0.3,25.0,75.0,75.0
handy abo günstig,8,1,250,0.0053,0.3,3.0,75.0,75.0
yallo abo mit handy,9,1,250,0.1,0.3,1.6666666666666667,75.0,75.0
mobilfunkanbieter schweiz,15,1,250,0.05,0.3,12.5,75.0,75.0
swisscom handy-abo preise,12,1,250,0.05,0.3,1.0,75.0,75.0
handy günstig,100,1,250,0.01,0.3,2.5,75.0,75.0
tv anbieter schweiz,18,1,250,0.05,0.3,12.5,75.0,75.0
internet anschluss,3,1,200,0.15,0.3,30.0,60.0,60.0
internet vergleich,8,1,200,0.0072,0.3,3.6666666666666665,60.0,60.0
tv und internet-abo-vergleich schweiz,5,1,200,0.1,0.3,0.3333333333333333,60.0,60.0
talktalk netz,1,1,200,0.3,0.3,6.0,60.0,60.0
swisscom netz anbieter,1,1,200,0.3,0.3,27.666666666666668,60.0,60.0
netzabdeckung schweiz,1,1,200,0.3,0.3,76.33333333333333,60.0,60.0
wingo netzabdeckung,4,1,200,0.1,0.3,11.0,60.0,60.0
yallo schweiz,3,1,200,0.0037,0.3,2.0,60.0,60.0
yallo netzabdeckung,2,1,200,0.15,0.3,11.666666666666666,60.0,60.0
internet tv vergleich,8,1,200,0.1,0.3,0.6666666666666666,60.0,60.0
günstigstes internet schweiz,6,1,200,0.1,0.3,1.0,60.0,60.0
handy abovergleich,5,1,200,0.004,0.3,2.0,60.0,60.0
handyabo schweiz,4,1,200,0.1,0.3,20.0,60.0,60.0
abo handy,9,1,200,0.0067,0.3,3.6666666666666665,60.0,60.0
talk talk erfahrungen,5,1,200,0.1,0.3,2.0,60.0,60.0
abo vergleich,3,1,200,0.011000000000000001,0.3,5.0,60.0,60.0
handyvertrag schweiz,11,1,200,0.05,0.3,0.3333333333333333,60.0,60.0
handy abo sunrise,12,1,200,0.05,0.3,10.0,60.0,60.0
salt aktion,8,1,200,0.1,0.3,20.0,60.0,60.0
m budget handy abo,15,1,200,0.05,0.3,10.0,60.0,60.0
mobile anbieter schweiz,24,1,200,0.01,0.3,2.0,60.0,60.0
swisscom abo handy,16,1,200,0.05,0.3,1.0,60.0,60.0
prepaid handy schweiz,31,1,200,0.01,0.3,2.0,60.0,60.0
handy-abo unlimitiert schweiz und europa,19,1,200,0.05,0.3,10.0,60.0,60.0
mobiles internet schweiz,64,1,200,0.01,0.3,2.0,60.0,60.0
günstiges handy,82,1,200,0.01,0.3,2.0,60.0,60.0
mobile daten schweiz,100,1,200,0.01,0.3,2.0,60.0,60.0
handy aktion,77,1,200,0.01,0.3,2.0,60.0,60.0
handyvertrag,100,1,200,0.01,0.3,2.0,60.0,60.0
prepaid sim,100,1,200,0.01,0.3,2.0,60.0,60.0
swisscom prepaid kaufen,100,1,200,0.01,0.3,2.0,60.0,60.0
internet anbieter,6,1,200,0.1,0.3,1.0,60.0,60.0
tv abo,36,1,200,0.01,0.3,0.3333333333333333,60.0,60.0
glasfaser internet,100,1,200,0.01,0.3,2.0,60.0,60.0
tv angebote,100,1,200,0.01,0.3,2.0,60.0,60.0
internetabo,2,1,150,0.15,0.3,3.6666666666666665,45.0,45.0
günstiges internet,15,1,150,0.05,0.3,7.5,45.0,45.0
abonnement tv internet,14,1,150,0.05,0.3,7.5,45.0,45.0
günstiges internet für zuhause schweiz,6,1,150,0.1,0.3,1.0,45.0,45.0
internet für zuhause schweiz,8,1,150,0.1,0.3,0.3333333333333333,45.0,45.0
netzabdeckung,2,1,150,0.0695,0.3,27.666666666666668,45.0,45.0
handyabo kinder,3,1,150,0.15,0.3,22.5,45.0,45.0
mobil abo vergleich,3,1,150,0.0175,0.3,7.333333333333333,45.0,45.0
handyabo vergleich,3,1,150,0.15,0.3,1.0,45.0,45.0
internet und tv,60,1,150,0.01,0.3,1.5,45.0,45.0
abo vergleich schweiz,4,1,150,0.1,0.3,3.0,45.0,45.0
mobile abo vergleich schweiz,4,1,150,0.1,0.3,0.3333333333333333,45.0,45.0
handy abo salt,7,1,150,0.1,0.3,0.3333333333333333,45.0,45.0
mobil abo schweiz,4,1,150,0.1,0.3,0.6666666666666666,45.0,45.0
talktalk mobile,9,1,150,0.1,0.3,15.0,45.0,45.0
sunrise 5g abdeckung,8,1,150,0.1,0.3,0.3333333333333333,45.0,45.0
internet zuhause schweiz,10,1,150,0.1,0.3,0.3333333333333333,45.0,45.0
yallo handy,9,1,150,0.1,0.3,15.0,45.0,45.0
abonnement yallo,8,1,150,0.1,0.3,15.0,45.0,45.0
günstige mobile abo,7,1,150,0.1,0.3,2.3333333333333335,45.0,45.0
sunrise netz,18,1,150,0.05,0.3,7.5,45.0,45.0
yallo abo unlimitiert,8,1,150,0.1,0.3,0.6666666666666666,45.0,45.0
yallo abo aktion,7,1,150,0.1,0.3,0.6666666666666666,45.0,45.0
günstigstes handy abo schweiz,100,1,150,0.01,0.3,1.5,45.0,45.0
sunrise abo handy,14,1,150,0.05,0.3,0.3333333333333333,45.0,45.0
sunrise kombi abo,9,1,150,0.1,0.3,15.0,45.0,45.0
günstiges handy-abo swisscom,7,1,150,0.1,0.3,1.3333333333333333,45.0,45.0
budget mobile abo,10,1,150,0.1,0.3,15.0,45.0,45.0
sunrise aktion,15,1,150,0.05,0.3,7.5,45.0,45.0
m budget mobile maxi,18,1,150,0.05,0.3,7.5,45.0,45.0
m budget tv internet,11,1,150,0.05,0.3,0.3333333333333333,45.0,45.0
swisscom abo angebote,17,1,150,0.05,0.3,7.5,45.0,45.0
prepaid abo,20,1,150,0.05,0.3,7.5,45.0,45.0
handy abo unlimitiert internet,24,1,150,0.01,0.3,1.5,45.0,45.0
prepaid vergleich schweiz,38,1,150,0.01,0.3,1.5,45.0,45.0
swisscom datenpaket,86,1,150,0.005,0.05,0.75,7.5,7.5
prepaid internet schweiz,67,1,150,0.01,0.3,1.5,45.0,45.0
prepaid sim-karte schweiz,100,1,150,0.01,0.3,1.5,45.0,45.0
handy aufladen swisscom,100,1,150,0.01,0.3,1.5,45.0,45.0
unlimitiert abo,68,1,150,0.01,0.3,1.5,45.0,45.0
spotify-abo schweiz,100,1,150,0.01,0.3,1.5,45.0,45.0
glasfaseranschluss prüfen,100,1,150,0.01,0.3,1.5,45.0,45.0
internet-abo zuhause,7,1,100,0.1,0.3,1.6666666666666667,30.0,30.0
internet angebote,29,1,100,0.01,0.3,0.6666666666666666,30.0,30.0
internet und tv abo-vergleich schweiz,8,1,100,0.1,0.3,0.3333333333333333,30.0,30.0
home internet switzerland,9,1,100,0.1,0.3,10.0,30.0,30.0
internet angebote schweiz,8,1,100,0.1,0.3,0.3333333333333333,30.0,30.0
sunrise abdeckung,8,1,100,0.1,0.3,10.0,30.0,30.0
salt angebot,5,1,100,0.1,0.3,10.0,30.0,30.0
bestes netz schweiz,10,1,100,0.1,0.3,10.0,30.0,30.0
salt angebote handy,7,1,100,0.1,0.3,10.0,30.0,30.0
günstige handy abo schweiz,6,1,100,0.1,0.3,10.0,30.0,30.0
sunrise abo unlimitiert,12,1,100,0.05,0.3,0.3333333333333333,30.0,30.0
sunrise handy-abo angebote,9,1,100,0.1,0.3,0.3333333333333333,30.0,30.0
salt home internet,18,1,100,0.05,0.3,5.0,30.0,30.0
handy abo yallo,8,1,100,0.1,0.3,0.6666666666666666,30.0,30.0
handy-abo mit handy,7,1,100,0.1,0.3,2.6666666666666665,30.0,30.0
abo mobile,8,1,100,0.1,0.3,0.6666666666666666,30.0,30.0
swisscom jugendabo,14,1,100,0.05,0.3,5.0,30.0,30.0
günstiges handy abo swisscom,8,1,100,0.1,0.3,10.0,30.0,30.0
sunrise angebot,12,1,100,0.05,0.3,5.0,30.0,30.0
sunrise natel abo,12,1,100,0.05,0.3,5.0,30.0,30.0
handytarife schweiz,15,1,100,0.05,0.3,5.0,30.0,30.0
handy vertrag schweiz,17,1,100,0.05,0.3,0.6666666666666666,30.0,30.0
handyanbieter schweiz,22,1,100,0.01,0.3,0.3333333333333333,30.0,30.0
swisscom mobile-abo übersicht,17,1,100,0.05,0.3,5.0,30.0,30.0
handy anbieter schweiz,24,1,100,0.01,0.3,1.0,30.0,30.0
swisscom handy-abo aktion,11,1,100,0.05,0.3,0.6666666666666666,30.0,30.0
sunrise angebote handy,19,1,100,0.05,0.3,0.3333333333333333,30.0,30.0
swisscom mobile abos,16,1,100,0.05,0.3,5.0,30.0,30.0
handy abo weltweit unlimitiert,31,1,100,0.01,0.3,1.0,30.0,30.0
swisscom handy abo kündigen,26,1,100,0.01,0.3,1.0,30.0,30.0
mobile abo unlimitiert,30,1,100,0.01,0.3,1.0,30.0,30.0
prepaid handy aufladen,100,1,100,0.01,0.3,1.0,30.0,30.0
prepaid sim card,100,1,100,0.01,0.3,1.0,30.0,30.0
sunrise glasfaser check,59,1,100,0.01,0.3,1.0,30.0,30.0
abonnement tv,66,1,100,0.01,0.3,1.0,30.0,30.0
internet fernsehen,50,1,100,0.01,0.3,1.0,30.0,30.0
sky schweiz preise,100,1,100,0.01,0.3,1.0,30.0,30.0
internet-abo-vergleich schweiz,4,1,90,0.1,0.3,0.3333333333333333,27.0,27.0
internet schweiz vergleich,7,1,90,0.1,0.3,0.3333333333333333,27.0,27.0
internet anbieter schweiz vergleich,8,1,90,0.1,0.3,9.0,27.0,27.0
internetanbieter vergleich schweiz,6,1,90,0.1,0.3,0.6666666666666666,27.0,27.0
mobil abo vergleich schweiz,4,1,90,0.1,0.3,0.3333333333333333,27.0,27.0
bestes handynetz schweiz,13,1,90,0.05,0.3,4.5,27.0,27.0
günstig mobile abo,8,1,90,0.1,0.3,0.6666666666666666,27.0,27.0
sunrise handy abo angebote,10,1,90,0.1,0.3,9.0,27.0,27.0
m-budget mobile abo,13,1,90,0.05,0.3,0.3333333333333333,27.0,27.0
swisscom netz,19,1,90,0.05,0.3,3.6666666666666665,27.0,27.0
mobile internet schweiz,25,1,90,0.01,0.3,0.9,27.0,27.0
mobile prepaid,87,1,90,0.01,0.3,0.9,27.0,27.0
abo internet,8,1,80,0.1,0.3,0.6666666666666666,24.0,24.0
internet abo zuhause,8,1,80,0.1,0.3,0.6666666666666666,24.0,24.0
salt mobile abos,8,1,80,0.1,0.3,8.0,24.0,24.0
offre sunrise mobile,13,1,80,0.05,0.3,4.0,24.0,24.0
swisscom handy-abo unlimitiert,13,1,80,0.05,0.3,0.3333333333333333,24.0,24.0
handy-abo unlimitiert internet europa,39,1,80,0.01,0.3,0.8,24.0,24.0
unlimitiertes abo,58,1,80,0.01,0.3,0.8,24.0,24.0
internet tv angebote,21,1,70,0.01,0.3,0.3333333333333333,21.0,21.0
internet glasfaser,87,1,70,0.01,0.3,0.7000000000000001,21.0,21.0
handy abo schweiz vergleich,5,1,70,0.1,0.3,2.6666666666666665,21.0,21.0
internet abo sunrise,13,1,70,0.05,0.3,3.5,21.0,21.0
swisscom angebote handy,9,1,70,0.1,0.3,7.0,21.0,21.0
handy tarife schweiz,13,1,70,0.05,0.3,0.3333333333333333,21.0,21.0
offre swisscom mobile,20,1,70,0.05,0.3,3.5,21.0,21.0
tv anschluss plombieren,100,1,70,0.01,0.3,0.7000000000000001,21.0,21.0
internet home vergleich,4,1,60,0.1,0.3,0.3333333333333333,18.0,18.0
internet günstig schweiz,9,1,60,0.1,0.3,6.0,18.0,18.0
schweiz internet,14,1,60,0.05,0.3,3.0,18.0,18.0
tv und internet,91,1,60,0.01,0.3,0.6,18.0,18.0
sunrise aktionen,18,1,60,0.05,0.3,3.0,18.0,18.0
m budget guthaben abfragen,100,1,60,0.01,0.3,0.6,18.0,18.0
abonnement internet tv,14,1,50,0.05,0.3,2.5,15.0,15.0
tv und internet angebote,17,1,50,0.05,0.3,0.3333333333333333,15.0,15.0
tv abos,31,1,50,0.01,0.3,0.5,15.0,15.0
handy-abo-vergleich schweiz,4,1,50,0.1,0.3,2.3333333333333335,15.0,15.0
abonnement mobile salt,7,1,50,0.1,0.3,5.0,15.0,15.0
handyabo günstig,8,1,50,0.1,0.3,1.0,15.0,15.0
sunrise handy angebote,32,1,50,0.01,0.3,0.5,15.0,15.0
mobil anbieter schweiz,22,1,50,0.01,0.3,0.5,15.0,15.0
mbudget handy,19,1,50,0.05,0.3,2.5,15.0,15.0
handytarife,100,1,50,0.01,0.3,0.5,15.0,15.0
prepaid schweiz vergleich,31,1,50,0.01,0.3,0.5,15.0,15.0
glasfaser sunrise,100,1,50,0.01,0.3,0.5,15.0,15.0
swisscom guthabenabfrage,100,1,50,0.01,0.3,0.5,15.0,15.0
apple tv schweiz,100,1,50,0.01,0.3,0.5,15.0,15.0
festnetz abo,100,1,50,0.01,0.3,0.5,15.0,15.0
vergleich internet schweiz,4,1,40,0.1,0.3,4.0,12.0,12.0
günstiges internet für zuhause,8,1,40,0.1,0.3,4.0,12.0,12.0
internet tv abo vergleich,6,1,40,0.1,0.3,0.3333333333333333,12.0,12.0
internet abo vergleich schweiz,3,1,40,0.15,0.3,2.6666666666666665,12.0,12.0
internet zuhause günstig,8,1,40,0.1,0.3,4.0,12.0,12.0
internetanbieter schweiz vergleich,7,1,40,0.1,0.3,4.0,12.0,12.0
abo tv internet,12,1,40,0.05,0.3,2.0,12.0,12.0
tv internet anbieter,11,1,40,0.05,0.3,2.0,12.0,12.0
m-budget abonnement mobile,13,1,40,0.05,0.3,2.0,12.0,12.0
handy-abo unlimitiert,18,1,40,0.05,0.3,2.0,12.0,12.0
internet störung swisscom,100,1,40,0.01,0.3,0.4,12.0,12.0
vergleich internetanbieter schweiz,5,1,30,0.1,0.3,0.3333333333333333,9.0,9.0
günstig internet schweiz,5,1,30,0.1,0.3,0.3333333333333333,9.0,9.0
günstig internet,24,1,30,0.01,0.3,0.3,9.0,9.0
internet und tv angebote,23,1,30,0.01,0.3,0.3,9.0,9.0
internet tv anbieter,20,1,30,0.05,0.3,1.5,9.0,9.0
kombi abo tv internet handy,25,1,30,0.01,0.3,0.3,9.0,9.0
mobile abo schweiz vergleich,3,1,30,0.15,0.3,4.5,9.0,9.0
schweizer mobilfunkanbieter,15,1,30,0.05,0.3,0.3333333333333333,9.0,9.0
abonnement m-budget,12,1,30,0.05,0.3,1.5,9.0,9.0
handy mit vertrag schweiz,13,1,30,0.05,0.3,1.5,9.0,9.0
handy prepaid aufladen,100,1,30,0.01,0.3,0.3,9.0,9.0
abonnement tv et internet,100,1,20,0.01,0.3,0.2,6.0,6.0
mobilfunk anbieter schweiz,14,1,20,0.05,0.3,1.0,6.0,6.0
handy abo vergleichen schweiz,4,1,20,0.1,0.3,0.3333333333333333,6.0,6.0
mobilabo vergleich schweiz,6,1,20,0.1,0.3,2.0,6.0,6.0
swisscom kombi abo,31,1,20,0.01,0.3,0.2,6.0,6.0
handy abo unlimitiert schweiz und europa,20,1,20,0.05,0.3,1.0,6.0,6.0
handy tarife,49,1,20,0.01,0.3,0.2,6.0,6.0
abo unlimitiert,33,1,20,0.01,0.3,0.2,6.0,6.0
internet tv festnetz,68,1,20,0.01,0.3,0.2,6.0,6.0
internet + tv angebote,21,1,10,0.01,0.3,0.1,3.0,3.0
swisscom mobile abo übersicht,16,1,10,0.05,0.3,0.5,3.0,3.0
günstigstes handy abo,10,1,4,0.1,0.3,0.4,1.2,1.2
salt mobile abo,8,1,4,0.0021,0.05,1.3333333333333333,0.2,0.2
günstigste handy abo schweiz,7,1,6,0.1,0.3,0.6666666666666666,1.7999999999999998,1.7999999999999998
internet abo black friday,1,1,0,0.3,0.3,0.0,0.0,0.0
